Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
ritz,2014,335000,559000,27000,Petrol,Dealer,Manual,0
sx4,2013,475000,953999,43000,Diesel,Dealer,Manual,0
ciaz,2017,725000,985000,6900,Petrol,Dealer,Manual,0
wagon r,2011,285000,415000,5200,Petrol,Dealer,Manual,0
swift,2014,459999,687000,42450,Diesel,Dealer,Manual,0
vitara brezza,2018,925000,983000,2071,Diesel,Dealer,Manual,0
ciaz,2015,675000,811999,18796,Petrol,Dealer,Manual,0
s cross,2015,650000,861000,33429,Diesel,Dealer,Manual,0
ciaz,2016,875000,889000,20273,Diesel,Dealer,Manual,0
ciaz,2015,745000,892000,42367,Diesel,Dealer,Manual,0
alto 800,2017,285000,360000,2135,Petrol,Dealer,Manual,0
ciaz,2015,685000,1038000,51000,Diesel,Dealer,Manual,0
ciaz,2015,750000,994000,15000,Petrol,Dealer,Automatic,0
ertiga,2015,610000,771000,26000,Petrol,Dealer,Manual,0
dzire,2009,225000,721000,77427,Petrol,Dealer,Manual,0
ertiga,2016,775000,1079000,43000,Diesel,Dealer,Manual,0
ertiga,2015,725000,1079000,41678,Diesel,Dealer,Manual,0
ertiga,2016,775000,1079000,43000,Diesel,Dealer,Manual,0
wagon r,2015,325000,509000,35500,CNG,Dealer,Manual,0
sx4,2010,265000,798000,41442,Petrol,Dealer,Manual,0
alto k10,2016,285000,395000,25000,Petrol,Dealer,Manual,0
ignis,2017,490000,571000,2400,Petrol,Dealer,Manual,0
sx4,2011,440000,801000,50000,Petrol,Dealer,Automatic,0
alto k10,2014,250000,346000,45280,Petrol,Dealer,Manual,0
wagon r,2013,290000,441000,56879,Petrol,Dealer,Manual,0
swift,2011,300000,499000,20000,Petrol,Dealer,Manual,0
swift,2013,415000,587000,55138,Petrol,Dealer,Manual,0
swift,2017,600000,649000,16200,Petrol,Individual,Manual,0
alto k10,2010,195000,395000,44542,Petrol,Dealer,Manual,0
ciaz,2015,745000,1038000,45000,Diesel,Dealer,Manual,0
ritz,2012,310000,598000,51439,Diesel,Dealer,Manual,0
ritz,2011,235000,488999,54200,Petrol,Dealer,Manual,0
swift,2014,495000,749000,39000,Diesel,Dealer,Manual,0
ertiga,2014,600000,994999,45000,Diesel,Dealer,Manual,0
dzire,2014,550000,806000,45000,Diesel,Dealer,Manual,0
sx4,2011,295000,774000,49998,CNG,Dealer,Manual,0
dzire,2015,465000,720000,48767,Petrol,Dealer,Manual,0
800,2003,35000,227999,127000,Petrol,Individual,Manual,0
alto k10,2016,300000,376000,10079,Petrol,Dealer,Manual,0
sx4,2003,225000,798000,62000,Petrol,Dealer,Manual,0
baleno,2016,585000,787000,24524,Petrol,Dealer,Automatic,0
alto k10,2014,254999,398000,46706,Petrol,Dealer,Manual,0
sx4,2008,195000,715000,58000,Petrol,Dealer,Manual,0
dzire,2014,550000,806000,45780,Diesel,Dealer,Manual,0
omni,2012,125000,269000,50000,Petrol,Dealer,Manual,0
ciaz,2014,750000,1204000,15000,Petrol,Dealer,Automatic,0
ritz,2013,265000,488999,64532,Petrol,Dealer,Manual,0
wagon r,2006,105000,415000,65000,Petrol,Dealer,Manual,0
ertiga,2015,580000,771000,25870,Petrol,Dealer,Manual,0
ciaz,2017,775000,928999,37000,Petrol,Dealer,Automatic,0
fortuner,2012,1490000,3061000,104707,Diesel,Dealer,Automatic,0
fortuner,2015,2300000,3061000,40000,Diesel,Dealer,Automatic,0
innova,2017,1800000,1977000,15000,Diesel,Dealer,Automatic,0
fortuner,2013,1600000,3061000,135000,Diesel,Individual,Automatic,0
innova,2005,275000,1021000,90000,Petrol,Individual,Manual,0
corolla altis,2009,360000,1504000,70000,Petrol,Dealer,Automatic,0
etios cross,2015,450000,727000,40534,Petrol,Dealer,Manual,0
corolla altis,2010,475000,1854000,50000,Petrol,Dealer,Manual,0
etios g,2014,409999,680000,39485,Petrol,Dealer,Manual,1
fortuner,2014,1998999,3596000,41000,Diesel,Dealer,Automatic,0
corolla altis,2013,695000,1861000,40001,Petrol,Dealer,Manual,0
etios cross,2015,450000,770000,40588,Petrol,Dealer,Manual,0
fortuner,2014,1875000,3596000,78000,Diesel,Dealer,Automatic,0
fortuner,2015,2350000,3596000,47000,Diesel,Dealer,Automatic,0
fortuner,2017,3300000,3622999,6000,Diesel,Dealer,Automatic,0
etios liva,2014,475000,695000,45000,Diesel,Dealer,Manual,0
innova,2017,1975000,2315000,11000,Petrol,Dealer,Automatic,0
fortuner,2010,925000,2045000,59000,Diesel,Dealer,Manual,0
corolla altis,2011,434999,1374000,88000,Petrol,Dealer,Manual,0
corolla altis,2016,1425000,2091000,12000,Petrol,Dealer,Manual,0
etios liva,2014,395000,676000,71000,Diesel,Dealer,Manual,0
corolla altis,2011,450000,1248000,45000,Diesel,Dealer,Manual,0
corolla altis,2013,745000,1861000,56001,Petrol,Dealer,Manual,0
etios liva,2011,265000,571000,43000,Petrol,Dealer,Manual,0
etios cross,2014,490000,893000,83000,Diesel,Dealer,Manual,0
etios g,2015,395000,680000,36000,Petrol,Dealer,Manual,0
corolla altis,2013,550000,1468000,72000,Petrol,Dealer,Manual,0
corolla,2004,150000,1235000,135154,Petrol,Dealer,Automatic,0
corolla altis,2010,525000,2283000,80000,Petrol,Dealer,Automatic,0
fortuner,2012,1450000,3061000,89000,Diesel,Dealer,Automatic,0
corolla altis,2016,1473000,1489000,23000,Diesel,Dealer,Manual,0
etios gd,2015,475000,785000,40000,Diesel,Dealer,Manual,0
innova,2017,2300000,2539000,15000,Diesel,Dealer,Automatic,0
innova,2015,1250000,1346000,38000,Diesel,Dealer,Manual,0
innova,2005,349000,1346000,197176,Diesel,Dealer,Manual,0
camry,2006,250000,2373000,142000,Petrol,Individual,Automatic,3
land cruiser,2010,3500000,9260000,78000,Diesel,Dealer,Manual,0
corolla altis,2012,590000,1374000,56000,Petrol,Dealer,Manual,0
etios liva,2013,345000,605000,47000,Petrol,Dealer,Manual,0
etios g,2014,475000,676000,40000,Petrol,Dealer,Manual,0
corolla altis,2009,380000,1861000,62000,Petrol,Dealer,Manual,0
innova,2014,1125000,1609000,58242,Diesel,Dealer,Manual,0
innova,2005,351000,1370000,75000,Petrol,Dealer,Manual,0
fortuner,2015,2300000,3061000,40000,Diesel,Dealer,Automatic,0
corolla altis,2008,400000,2278000,89000,Petrol,Dealer,Automatic,0
corolla altis,2012,585000,1861000,72000,Petrol,Dealer,Manual,0
innova,2016,2075000,2539000,29000,Diesel,Dealer,Automatic,0
corolla altis,2017,1700000,1864000,8700,Petrol,Dealer,Manual,0
corolla altis,2013,705000,1861000,45000,Petrol,Dealer,Manual,0
fortuner,2010,965000,2045000,50024,Diesel,Dealer,Manual,0
Royal Enfield Thunder 500,2016,175000,190000,3000,Petrol,Individual,Manual,0
UM Renegade Mojave,2017,170000,182000,1400,Petrol,Individual,Manual,0
KTM RC200,2017,165000,178000,4000,Petrol,Individual,Manual,0
Bajaj Dominar 400,2017,145000,160000,1200,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2017,135000,147000,4100,Petrol,Individual,Manual,0
KTM RC390,2015,135000,237000,21700,Petrol,Individual,Manual,0
Hyosung GT250R,2014,135000,345000,16500,Petrol,Individual,Manual,1
Royal Enfield Thunder 350,2013,125000,150000,15000,Petrol,Individual,Manual,0
Royal Enfield Thunder 350,2016,120000,150000,18000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2017,120000,147000,11000,Petrol,Individual,Manual,0
KTM RC200,2016,120000,178000,6000,Petrol,Individual,Manual,0
Royal Enfield Thunder 350,2016,114999,150000,8700,Petrol,Individual,Manual,0
KTM 390 Duke ,2014,114999,240000,7000,Petrol,Individual,Manual,0
Mahindra Mojo XT300,2016,114999,140000,35000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2015,114999,147000,17000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2015,111000,147000,17500,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2013,110000,147000,33000,Petrol,Individual,Manual,0
Royal Enfield Thunder 500,2015,110000,190000,14000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2015,110000,147000,26000,Petrol,Individual,Manual,0
Royal Enfield Thunder 500,2013,105000,190000,5400,Petrol,Individual,Manual,0
Bajaj Pulsar RS200,2016,105000,126000,5700,Petrol,Individual,Manual,0
Royal Enfield Thunder 350,2011,105000,150000,6900,Petrol,Individual,Manual,0
Royal Enfield Bullet 350,2016,105000,117000,6000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2013,100000,147000,46500,Petrol,Individual,Manual,0
Royal Enfield Classic 500,2012,95000,175000,11500,Petrol,Individual,Manual,0
Royal Enfield Classic 500,2009,90000,175000,40000,Petrol,Individual,Manual,0
Bajaj Avenger 220,2017,90000,95000,1300,Petrol,Individual,Manual,0
Bajaj Avenger 150,2016,75000,80000,7000,Petrol,Individual,Manual,0
Honda CB Hornet 160R,2017,80000,87000,3000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2017,78000,84000,5000,Petrol,Individual,Manual,0
Honda CB Hornet 160R,2017,75000,87000,11000,Petrol,Individual,Manual,0
Yamaha FZ 16,2015,75000,82000,18000,Petrol,Individual,Manual,0
Bajaj Avenger 220,2017,75000,95000,3500,Petrol,Individual,Manual,0
Bajaj Avenger 220,2016,72000,95000,500,Petrol,Individual,Manual,0
TVS Apache RTR 160,2017,65000,81000,11800,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2015,65000,74000,5000,Petrol,Individual,Manual,0
Honda CBR 150,2014,65000,120000,23500,Petrol,Individual,Manual,0
Hero Extreme,2013,65000,78700,16000,Petrol,Individual,Manual,0
Honda CB Hornet 160R,2016,60000,87000,15000,Petrol,Individual,Manual,0
Bajaj Avenger 220 dtsi,2015,60000,95000,16600,Petrol,Individual,Manual,0
Honda CBR 150,2013,60000,120000,32000,Petrol,Individual,Manual,0
Bajaj Avenger 150 street,2016,60000,80000,20000,Petrol,Individual,Manual,0
Yamaha FZ  v 2.0,2015,60000,84000,29000,Petrol,Individual,Manual,0
Yamaha FZ  v 2.0,2016,60000,84000,25000,Petrol,Individual,Manual,0
Bajaj Pulsar  NS 200,2014,60000,99000,25000,Petrol,Individual,Manual,0
TVS Apache RTR 160,2012,60000,81000,19000,Petrol,Individual,Manual,0
Hero Extreme,2014,55000,78700,15000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2015,55000,84000,58000,Petrol,Individual,Manual,0
Bajaj Pulsar 220 F,2010,52000,94000,45000,Petrol,Individual,Manual,0
Bajaj Pulsar 220 F,2016,51000,94000,24000,Petrol,Individual,Manual,0
TVS Apache RTR 180,2011,50000,82600,6000,Petrol,Individual,Manual,0
Hero Passion X pro,2016,50000,55000,31000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2012,50000,99000,13000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2013,50000,99000,45000,Petrol,Individual,Manual,0
Yamaha Fazer ,2014,50000,88000,8000,Petrol,Individual,Manual,0
Honda Activa 4G,2017,48000,51000,4300,Petrol,Individual,Automatic,0
TVS Sport ,2017,48000,52000,15000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2015,48000,84000,23000,Petrol,Individual,Manual,0
Honda Dream Yuga ,2017,48000,54000,8600,Petrol,Individual,Manual,0
Honda Activa 4G,2017,45000,51000,4000,Petrol,Individual,Automatic,0
Bajaj Avenger Street 220,2011,45000,95000,24000,Petrol,Individual,Manual,0
TVS Apache RTR 180,2014,45000,82600,23000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2012,45000,99000,14500,Petrol,Individual,Manual,0
